MJD,date,state,r_x,r_y,r_z,v_x,v_y,v_z,v_inf_x,v_inf_y,v_inf_z,dv_x,dv_y,dv_z
6.0538183959174530e+04,2024-08-15,3 Leave,8.0865016703873760e-01,-6.0959668849347481e-01,2.9952521868139622e-05,2.0957117517342233e+01,2.8932129763535627e+01,2.0495596547827946e-01,3.5100107423451332e+00,5.2571130176013767e+00,2.0636692755362906e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538279173747782e+04,2024-08-15,Deep Space,8.0980157528460417e-01,-6.0800489455143836e-01,4.1223215419647738e-05,2.0919102657168260e+01,2.8960729289252477e+01,2.0495429366849077e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538374388321026e+04,2024-08-15,Deep Space,8.1095089145526689e-01,-6.0641152986428315e-01,5.2493802472861070e-05,2.0881029665680867e+01,2.8989257066005337e+01,2.0495209216344196e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538469602894278e+04,2024-08-15,Deep Space,8.1209811236010110e-01,-6.0481659838278690e-01,6.3764253896558449e-05,2.0842898763971775e+01,2.9017712903756173e+01,2.0494936086464974e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538564817467530e+04,2024-08-16,Deep Space,8.1324323482066263e-01,-6.0322010406815307e-01,7.5034540554294821e-05,2.0804710173963606e+01,2.9046096613361797e+01,2.0494609968060556e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538660032040774e+04,2024-08-16,Deep Space,8.1438625567073442e-01,-6.0162205089196219e-01,8.6304633304784868e-05,2.0766464118405025e+01,2.9074408006578590e+01,2.0494230852678022e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538755246614026e+04,2024-08-16,Deep Space,8.1552717175637035e-01,-6.0002244283612083e-01,9.7574503002286820e-05,2.0728160820865849e+01,2.9102646896067256e+01,2.0493798732562826e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538850461187278e+04,2024-08-16,Deep Space,8.1666597993594181e-01,-5.9842128389281302e-01,1.0884412049698689e-04,2.0689800505732133e+01,2.9130813095397471e+01,2.0493313600659260e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0538945675760522e+04,2024-08-16,Deep Space,8.1780267708018139e-01,-5.9681857806444971e-01,1.2011345663538331e-04,2.0651383398201244e+01,2.9158906419052581e+01,2.0492775450610828e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0539040890333774e+04,2024-08-16,Deep Space,8.1893726007222767e-01,-5.9521432936361818e-01,1.3138248226067146e-04,2.0612909724276850e+01,2.9186926682434233e+01,2.0492184276760667e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.0539136104907026e+04,2024-08-16,Deep Space,8.2006972580766990e-01,-5.9360854181303180e-01,1.4265116821312812e-04,2.0574379710763928e+01,2.9214873701866953e+01,2.0491540074151868e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
